eventnumber,filenumber,event,pname,eventlabel,Brightness,Difficulty,TSide,TFeature,DFeature,ymaxframe,RT,ButtonRT,abvelthreshold,Vmax5percent,VthresholdGC,Vmax,VmaxMT,stoptime,mainreach,initreach,pathlengthnorm,pathlengthmm,movetime,deceltime,normlength,AUC,maxaperture,maxaptime,stopX,stopY
1558,78,18,p33f28,Datafile processing p33f28 Block 6 event 18,Drk,Esy,Rgt,Vert,Vert,67,0.34,399,43,37,35,16.4054293337903,52,66,Correct,Correct,1.0106904273409,255.805575596881,0.31,0.14,1.0106904273409,-0.0394074205408105,118.857011175763,0.774193548387097,146.491713118017,209.601302027066
1559,78,19,p33f28,Datafile processing p33f28 Block 6 event 19,Drk,Esy,Lft,Horz,Horz,66,0.35,383,43,39,35,18.6827837681217,52,66,Correct,Correct,1.01300871596918,272.703998707733,0.31,0.14,1.01300871596918,-0.0161507707265027,113.264831142556,0.741935483870968,-109.138582037661,248.890563044797
1560,78,20,p33f28,Datafile processing p33f28 Block 6 event 20,Drk,Esy,Rgt,Horz,Vert,62,0.31,360,37,34,31,20.222465435416,49,62,Correct,Correct,1.01927597345251,308.136516276243,0.31,0.13,1.01927597345251,-0.0362747693961653,108.643618237697,0.774193548387097,188.671150437098,242.268119177637
1561,79,1,p34f28,Datafile processing p34f28 Block 1 event 1,Bri,Esy,Rgt,Vert,Horz,60,0.29,322,31,27,27,15.7453935323561,43,60,Correct,Correct,1.11185638083087,266.820308135519,0.33,0.17,1.11185638083087,-0.120602277359846,120.781295776501,0.757575757575758,150.499190559877,220.206195946549
1562,79,2,p34f28,Datafile processing p34f28 Block 1 event 2,Bri,Hrd,Rgt,Horz,Vert,59,0.28,295,31,27,26,20.2948569746088,44,57,Correct,Correct,1.05953188008229,313.417890501403,0.31,0.13,1.05953188008229,-0.0857609850984168,111.012898251915,0.806451612903226,171.980666163964,261.739773510425
1563,79,3,p34f28,Datafile processing p34f28 Block 1 event 3,Bri,Hrd,Lft,Vert,Vert,68,0.28,320,40,29,28,16.1217594841762,48,71,Correct,Incorrect,1.20244464657589,275.399289394687,0.43,0.23,1.20244464657589,0.120579011494283,122.218919775671,0.767441860465116,-140.719383290209,235.317701473344
1564,79,4,p34f28,Datafile processing p34f28 Block 1 event 4,Bri,Bas,Lft,Horz,Miss,61,0.31,322,38,34,27,18.7279688197256,47,61,Correct,Correct,1.03143761232717,291.017932169748,0.34,0.14,1.03143761232717,0.00384264690097117,118.265282544843,0.764705882352941,-113.383713042278,266.727829276854
1565,79,5,p34f28,Datafile processing p34f28 Block 1 event 5,Bri,Hrd,Rgt,Horz,Horz,63,0.3,322,34,30,28,19.2045860327242,47,63,Correct,Correct,1.05925804110022,316.878996568405,0.35,0.16,1.05925804110022,-0.0879250509350042,111.931574130351,0.742857142857143,178.878305859642,259.920177498156
1566,79,6,p34f28,Datafile processing p34f28 Block 1 event 6,Bri,Hrd,Rgt,Vert,Horz,59,0.26,316,31,26,25,14.9370499114133,43,59,Correct,Correct,1.0613094024198,262.651397261415,0.34,0.16,1.0613094024198,-0.0593080071621325,116.902152452466,0.764705882352941,154.863904305986,211.529305201757
1567,79,7,p34f28,Datafile processing p34f28 Block 1 event 7,Bri,Esy,Lft,Horz,Vert,61,0.31,328,39,31,26,18.1266354053258,47,61,Correct,Incorrect,1.03902140521244,278.627676203294,0.35,0.14,1.03902140521244,-0.00821188661642493,114.253070616779,0.8,-100.431262092026,259.021093845876
1568,79,8,p34f28,Datafile processing p34f28 Block 1 event 8,Bri,Hrd,Lft,Vert,Horz,65,0.31,331,38,34,28,17.2146800162568,46,65,Correct,Correct,1.03141586017517,275.488453689431,0.37,0.19,1.03141586017517,-0.0296096828147948,125.691450588471,0.675675675675676,-143.50797141168,234.510284955011
1569,79,9,p34f28,Datafile processing p34f28 Block 1 event 9,Bri,Hrd,Lft,Horz,Horz,65,0.3,320,38,34,28,17.20579882407,46,65,Correct,Incorrect,1.01323458687705,284.577473648432,0.37,0.19,1.01323458687705,0.000424742051827,127.986416396923,0.810810810810811,-153.99615284699,239.114792583842
1570,79,10,p34f28,Datafile processing p34f28 Block 1 event 10,Bri,Esy,Lft,Vert,Horz,66,0.31,337,40,32,30,16.356169739233,49,66,Correct,Incorrect,1.02582579106171,271.867037523673,0.36,0.17,1.02582579106171,-0.0125991031143312,124.989482040376,0.75,-137.248480335455,234.463143175999
1571,79,11,p34f28,Datafile processing p34f28 Block 1 event 11,Bri,Bas,Rgt,Vert,Miss,57,0.24,294,30,26,24,16.7737653566236,43,56,Correct,Correct,1.05989575492923,278.712719473469,0.32,0.13,1.05989575492923,-0.0871670640769434,120.916577770971,0.78125,154.375058080324,231.936675940126
1572,79,12,p34f28,Datafile processing p34f28 Block 1 event 12,Bri,Esy,Lft,Horz,Horz,57,0.27,287,35,31,25,18.9449546850739,43,57,Correct,Correct,1.02471422930644,286.852846162367,0.32,0.14,1.02471422930644,0.00550894441645343,117.03867394296,0.75,-113.472026524293,262.63361617012
1573,79,13,p34f28,Datafile processing p34f28 Block 1 event 13,Bri,Esy,Lft,Vert,Vert,60,0.29,304,36,33,25,17.9667351778624,44,62,Correct,Incorrect,1.05276918315315,267.064421277198,0.37,0.18,1.05276918315315,0.0163218347535334,126.355442123092,0.702702702702703,-145.117538970571,223.220586893183
1574,79,14,p34f28,Datafile processing p34f28 Block 1 event 14,Bri,Esy,Rgt,Horz,Vert,60,0.29,313,33,29,28,21.0325399307485,46,59,Correct,Correct,1.04806968521922,324.02095170051,0.31,0.13,1.04806968521922,-0.0769345218473055,114.696680424542,0.741935483870968,179.146091984406,269.868960722541
